"統計名：","チーズの需給表 確報 令和４年度チーズの需給表"
"表番号："
"表題：","[令和４年度チーズの需給表] 統計表"
"実施年月：","2022年度","-"

"***","数字が得られないもの"
"-","事実のないもの"

"","","","/(P101-04-1-001)年度次 コード","1001","1002","1003","1004","1005","1006","1007","1008","1009","1010"
"","","","/(P101-04-1-001)年度次 補助コード","-","-","-","-","-","-","-","-","-","-"
"(P101-04-2-001)各種チーズ コード","(P101-04-2-001)各種チーズ 補助コード","(P101-04-2-001)各種チーズ","/(P101-04-1-001)年度次","平成25年","平成26年","平成27年","平成28年","平成29年","平成30年","令和元年","令和2年","令和3年","令和4年"
"1001","","国産ナチュラルチーズ生産量_前年度比【％】","","103.0","98.2","98.8","102.9","98.8","102.1","98.7","105.2","107.0","101.8"
"1002","","国産ナチュラルチーズ生産量【トン】","","40,495","39,761","39,276","40,412","39,928","40,776","40,257","42,364","45,336","46,160"
"1003","","国産ナチュラルチーズ生産量_プロセスチーズ原料用_前年度比【％】","","102.2","95.1","99.3","96.6","93.3","95.7","93.1","108.8","102.3","107.9"
"1004","","国産ナチュラルチーズ生産量_プロセスチーズ原料用【トン】","","25,617","24,354","24,174","23,355","21,785","20,851","19,402","21,107","21,585","23,281"
"1005","","国産ナチュラルチーズ生産量_プロセスチーズ原料用以外_前年度比【％】","","104.5","103.6","98.0","112.9","106.4","109.8","104.7","101.9","111.7","96.3"
"1006","","国産ナチュラルチーズ生産量_プロセスチーズ原料用以外【トン】","","14,878","15,407","15,102","17,057","18,143","19,925","20,855","21,257","23,751","22,879"
"1007","","輸入ナチュラルチーズ総量_前年度比【％】","","96.5","103.1","109.0","99.4","108.3","104.7","102.6","98.5","97.9","92.9"
"1008","","輸入ナチュラルチーズ総量【トン】","","220,734","227,656","248,054","246,446","266,979","279,556","286,938","282,494","276,645","256,902"
"1009","","輸入ナチュラルチーズ総量_プロセスチーズ原料用_前年度比【％】","","101.1","104.4","109.1","104.3","104.9","106.6","98.3","99.1","96.7","85.2"
"1010","","輸入ナチュラルチーズ総量_プロセスチーズ原料用【トン】","","70,537","73,664","80,392","83,809","87,940","93,787","92,175","91,338","88,296","75,197"
"1011","","輸入ナチュラルチーズ総量_プロセスチーズ原料用_うち関税割当内_前年度比【％】","","99.7","98.2","100.2","95.7","94.7","96.6","89.3","103.1","104.3","104.2"
"1012","","輸入ナチュラルチーズ総量_プロセスチーズ原料用_うち関税割当内【トン】","","59,385","58,309","58,407","55,921","52,932","51,122","45,647","47,041","49,050","51,118"
"1013","","輸入ナチュラルチーズ総量_プロセスチーズ原料用以外_前年度比【％】","","94.5","102.5","108.9","97.0","110.1","103.8","104.8","98.1","98.5","96.5"
"1014","","輸入ナチュラルチーズ総量_プロセスチーズ原料用以外【トン】","","150,197","153,992","167,662","162,637","179,039","185,769","194,763","191,156","188,350","181,705"
"1015","","ナチュラルチーズ消費量_前年度比【％】","","95.3","102.6","107.9","98.3","109.7","104.3","104.8","98.5","99.9","96.5"
"1016","","ナチュラルチーズ消費量【トン】","","165,075","169,399","182,764","179,694","197,182","205,694","215,618","212,413","212,101","204,584"
"1017","","プロセスチーズ消費量_前年度比【％】","","101.1","99.7","107.7","103.0","100.6","104.6","98.4","101.9","99.5","92.0"
"1018","","プロセスチーズ消費量【トン】","","122,525","122,198","131,620","135,580","136,398","142,625","140,378","143,056","142,409","131,049"
"1019","","プロセスチーズ消費量_国内生産量_前年度比【％】","","101.4","100.2","108.5","102.5","100.7","104.5","99.0","101.6","99.4","92.3"
"1020","","プロセスチーズ消費量_国内生産量【トン】","","113,461","113,701","123,388","126,453","127,281","132,980","131,661","133,809","132,956","122,763"
"1021","","プロセスチーズ消費量_輸入数量_前年度比【％】","","97.4","93.7","96.9","110.9","99.9","105.8","90.4","106.1","102.2","87.7"
"1022","","プロセスチーズ消費量_輸入数量【トン】","","9,064","8,497","8,232","9,127","9,117","9,645","8,717","9,247","9,453","8,286"
"1023","","チーズ総消費量_前年度比【％】","","97.7","101.4","107.8","100.3","105.8","104.4","102.2","99.9","99.7","94.7"
"1024","","チーズ総消費量【トン】","","287,600","291,597","314,384","315,274","333,580","348,319","355,996","355,469","354,510","335,633"
"1025","","国産割合_プロセスチーズ原料用【％】","","26.6","24.8","23.1","21.8","19.9","18.2","17.4","18.8","19.6","23.6"
"1026","","国産割合_チーズ総消費量(ナチュラルチーズベース）【％】","","15.1","14.5","13.3","13.7","12.7","12.4","12.0","12.7","13.7","14.9"
